"","","District","","Name","Party","Religion","Prior Experience","Education","Assumed Office","Born In"
"1","","Alabama 1","","Byrne, BradleyBradley Byrne","Republican","Episcopalian","Alabama Senate","Duke UniversityUniversity of Alabama","2014","1955"
"2","","Alabama 2","","Roby, MarthaMartha Roby","Republican","Presbyterian (PCA)","Montgomery City Council","New York UniversityCumberland School of Law","2011","1976"
"3","","Alabama 3","","Rogers, Mike D.Mike D. Rogers","Republican","Baptist - IFB","Calhoun County Commissioner, Alabama House of Representatives","Jacksonville State UniversityBirmingham School of Law","2003","1958"
"4","","Alabama 4","","Aderholt, RobertRobert Aderholt","Republican","United Methodist","Haleyville Municipal Judge","Birmingham–Southern CollegeSamford University","1997","1965"
"5","","Alabama 5","","Brooks, MoMo Brooks","Republican","Unspecified Christian","Alabama House of Representatives, Madison County Commissioner","Duke UniversityUniversity of Alabama","2011","1954"
"6","","Alabama 6","","Bachus, SpencerSpencer Bachus","Republican","Baptist - SBC","Alabama Senate, Alabama House of Representatives, Alabama Republican Party Chairman","Auburn UniversityUniversity of Alabama","1993","1947"
"7","","Alabama 7","","Sewell, TerriTerri Sewell","Democratic","Baptist","Attorney","Princeton UniversityHarvard School of LawUniversity of Oxford","2011","1965"
"8","","Alaska At Large","","Young, DonDon Young","Republican","Episcopalian","Alaska Senate, Ship captain, Mayor of Fort Yukon, Alaska","California State University, Chico","1973*","1933"
"9","","Arizona 1","","Kirkpatrick, AnnAnn Kirkpatrick","Democratic","Roman Catholic","Arizona House of Representatives, U.S. House","University of ArizonaUniversity of Arizona College of Law","2013","1950"
"10","","Arizona 2","","Barber, RonRon Barber","Democratic","Roman Catholic","Congressional aide of Rep. Gabrielle Giffords","University of Arizona","2012*","1945"
"11","","Arizona 3","","Grijalva, RaúlRaúl Grijalva","Democratic","Roman Catholic","Pima County Board of Supervisors","University of Arizona","2003","1948"
"12","","Arizona 4","","Gosar, PaulPaul Gosar","Republican","Roman Catholic","President of the Northern Arizona Dental Society","Creighton UniversityCreighton University School of Dentistry","2011","1958"
"13","","Arizona 5","","Salmon, MattMatt Salmon","Republican","Mormon","Arizona Senate, U.S. House","Arizona State UniversityBrigham Young University","2013","1958"
"14","","Arizona 6","","Schweikert, DavidDavid Schweikert","Republican","Roman Catholic","Arizona House of Representatives, Arizona Board of Education, Arizona Board of Equalization, Maricopa County Treasurer","Arizona State University","2011","1962"
"15","","Arizona 7","","Pastor, EdEd Pastor","Democratic","Roman Catholic","Maricopa County Board of Supervisors, Maricopa County Executive","Arizona State UniversityUniversity of Arizona","1991*","1943"
"16","","Arizona 8","","Franks, TrentTrent Franks","Republican","Baptist - SBC","Arizona House of Representatives","Ottawa University","2003","1957"
"17","","Arizona 9","","Sinema, KyrstenKyrsten Sinema","Democratic","Unspecified","Arizona Senate","Brigham Young UniversityArizona State University","2013","1976"
"18","","Arkansas 1","","Crawford, RickRick Crawford","Republican","Baptist - SBC","Broadcaster, Businessman","Arkansas State University","2011","1966"
"19","","Arkansas 2","","Griffin, TimTim Griffin","Republican","Baptist - SBC","U.S. Attorney for the Eastern District of Arkansas","Hendrix CollegeTulane University","2011","1968"
"20","","Arkansas 3","","Womack, SteveSteve Womack","Republican","Baptist - SBC","Mayor of Rogers, Arkansas","Arkansas Tech University","2011","1957"
"21","","Arkansas 4","","Cotton, TomTom Cotton","Republican","United Methodist","U.S. Army","Harvard College","2013","1977"
"22","","California 1","","LaMalfa, DougDoug LaMalfa","Republican","Evangelical Free Church","California State Senate","California Polytechnic State University","2013","1960"
"23","","California 2","","Huffman, JaredJared Huffman","Democratic","Roman Catholic","California State Assembly","University of California, Santa BarbaraBoston College Law School","2013","1964"
"24","","California 3","","Garamendi, JohnJohn Garamendi","Democratic","Roman Catholic","Lieutenant Governor of California, United States Deputy Secretary of the Interior, California Insurance Commissioner, California State Senate, California State Assembly","University of California, BerkeleyHarvard Business School","2009*","1945"
"25","","California 4","","McClintock, TomTom McClintock","Republican","Baptist - NAB","California Senate, California State Assembly","University of California, Los Angeles","2009","1956"
"26","","California 5","","Thompson, MikeMike Thompson","Democratic","Roman Catholic","California State Senate","California State University, Chico","1999","1951"
