"","X","doc.text","State","PolsWhoOppose","Current","Count","Congress","Name","SenatorsOppose","RepsOppose","GovsOppose"
"72",72,"Senate Minority Leader Mitch McConnell[45] (R-Kentucky)","Kentucky",1,"Current","Count","Congress","Mitch McConnell",1,0,0
"73",73,"Senate Minority Whip John Cornyn[45][46][47] (R-Texas)","Texas",1,"Current","Count","Congress","John Cornyn",1,0,0
"74",74,"Lamar Alexander[45] (R-Tennessee)","Tennessee",1,"Current","Count","Congress","Lamar Alexander",1,0,0
"75",75,"Kelly Ayotte[48] (R-New Hampshire)","New Hampshire",1,"Current","Count","Congress","Kelly Ayotte",1,0,0
"76",76,"John Barrasso[49] (R-Wyoming)","Wyoming",1,"Current","Count","Congress","John Barrasso",1,0,0
"77",77,"Roy Blunt[50] (R-Missouri)","Missouri",1,"Current","Count","Congress","Roy Blunt",1,0,0
"78",78,"John Boozman[51] (R-Arkansas)","Arkansas",1,"Current","Count","Congress","John Boozman",1,0,0
"79",79,"Richard Burr[45][52] (R-North Carolina)","North Carolina",1,"Current","Count","Congress","Richard Burr",1,0,0
"80",80,"Saxby Chambliss[45][53] (R-Georgia)","Georgia",1,"Current","Count","Congress","Saxby Chambliss",1,0,0
"81",81,"Dan Coats[54] (R-Indiana)","Indiana",1,"Current","Count","Congress","Dan Coats",1,0,0
"82",82,"Tom Coburn[45][55][56] (R-Oklahoma)","Oklahoma",1,"Current","Count","Congress","Tom Coburn",1,0,0
"83",83,"Thad Cochran[45] (R-Mississippi)","Mississippi",1,"Current","Count","Congress","Thad Cochran",1,0,0
"84",84,"Bob Corker[57] (R-Tennessee)","Tennessee",1,"Current","Count","Congress","Bob Corker",1,0,0
"85",85,"Mike Crapo[45][53] (R-Idaho)","Idaho",1,"Current","Count","Congress","Mike Crapo",1,0,0
"86",86,"Ted Cruz[58] (R-Texas)","Texas",1,"Current","Count","Congress","Ted Cruz",1,0,0
"87",87,"Mike Enzi[45][53] (R-Wyoming)","Wyoming",1,"Current","Count","Congress","Mike Enzi",1,0,0
"88",88,"Deb Fischer[59] (R-Nebraska)","Nebraska",1,"Current","Count","Congress","Deb Fischer",1,0,0
"89",89,"Jeff Flake[60][61] (R-Arizona)","Arizona",1,"Current","Count","Congress","Jeff Flake",1,0,0
"90",90,"Lindsey Graham[45][53] (R-South Carolina)","South Carolina",1,"Current","Count","Congress","Lindsey Graham",1,0,0
"91",91,"Chuck Grassley[45] (R-Iowa)","Iowa",1,"Current","Count","Congress","Chuck Grassley",1,0,0
"92",92,"Orrin Hatch[45] (R-Utah)","Utah",1,"Current","Count","Congress","Orrin Hatch",1,0,0
"93",93,"Dean Heller[62] (R-Nevada)","Nevada",1,"Current","Count","Congress","Dean Heller",1,0,0
"94",94,"John Hoeven[63] (R-North Dakota)","North Dakota",1,"Current","Count","Congress","John Hoeven",1,0,0
"95",95,"Jim Inhofe[45][53] (R-Oklahoma)","Oklahoma",1,"Current","Count","Congress","Jim Inhofe",1,0,0
"96",96,"Johnny Isakson[45][53] (R-Georgia)","Georgia",1,"Current","Count","Congress","Johnny Isakson",1,0,0
"97",97,"Mike Johanns[64] (R-Nebraska)","Nebraska",1,"Current","Count","Congress","Mike Johanns",1,0,0
"98",98,"Ron Johnson[65] (R-Wisconsin)","Wisconsin",1,"Current","Count","Congress","Ron Johnson",1,0,0
"99",99,"Mike Lee[66] (R-Utah)","Utah",1,"Current","Count","Congress","Mike Lee",1,0,0
"100",100,"John McCain[67] (R-Arizona)","Arizona",1,"Current","Count","Congress","John McCain",1,0,0
"101",101,"Jerry Moran[68] (R-Kansas)","Kansas",1,"Current","Count","Congress","Jerry Moran",1,0,0
"102",102,"Rand Paul[69] (R-Kentucky)","Kentucky",1,"Current","Count","Congress","Rand Paul",1,0,0
"103",103,"Mark Pryor[70] (D-Arkansas)","Arkansas",1,"Current","Count","Congress","Mark Pryor",1,0,0
"104",104,"Jim Risch[71] (R-Idaho)","Idaho",1,"Current","Count","Congress","Jim Risch",1,0,0
"105",105,"Pat Roberts[45][53] (R-Kansas)","Kansas",1,"Current","Count","Congress","Pat Roberts",1,0,0
"106",106,"Marco Rubio[72] (R-Florida)","Florida",1,"Current","Count","Congress","Marco Rubio",1,0,0
"107",107,"Tim Scott[73] (R-South Carolina)","South Carolina",1,"Current","Count","Congress","Tim Scott",1,0,0
"108",108,"Jeff Sessions[45][74] (R-Alabama)","Alabama",1,"Current","Count","Congress","Jeff Sessions",1,0,0
"109",109,"Richard Shelby[45][53] (R-Alabama)","Alabama",1,"Current","Count","Congress","Richard Shelby",1,0,0
"110",110,"John Thune[45][75] (R-South Dakota)","South Dakota",1,"Current","Count","Congress","John Thune",1,0,0
"111",111,"Pat Toomey[76] (R-Pennsylvania)","Pennsylvania",1,"Current","Count","Congress","Pat Toomey",1,0,0
"112",112,"David Vitter[45][53] (R-Louisiana)","Louisiana",1,"Current","Count","Congress","David Vitter",1,0,0
"113",113,"Roger Wicker[77] (R-Mississippi)","Mississippi",1,"Current","Count","Congress","Roger Wicker",1,0,0
"186",186,"Speaker John Boehner (R-Ohio)[102]","Ohio",1,"Current","Count","Congress","Speaker John Boehner ",0,1,0
"187",187,"Majority Leader Kevin McCarthy (R-California)[60][61]","California",1,"Current","Count","Congress","",0,1,0
"188",188,"Majority Whip Steve Scalise (R-Louisiana)[60][61]","Louisiana",1,"Current","Count","Congress","Steve Scalise",0,1,0
"189",189,"Robert Aderholt (R-Alabama)[60][61]","Alabama",1,"Current","Count","Congress","Robert Aderholt ",0,1,0
"190",190,"Mark Amodei (R-Nevada)[60][61]","Nevada",1,"Current","Count","Congress","Mark Amodei ",0,1,0
"191",191,"Michele Bachmann (R-Minnesota)[60][61]","Minnesota",1,"Current","Count","Congress","Michele Bachmann ",0,1,0
"192",192,"Spencer Bachus (R-Alabama)[60][61]","Alabama",1,"Current","Count","Congress","Spencer Bachus ",0,1,0
"193",193,"Lou Barletta (R-Pennsylvania)[60][61]","Pennsylvania",1,"Current","Count","Congress","Lou Barletta ",0,1,0
"194",194,"John Barrow (D-Georgia)[60][61]","Georgia",1,"Current","Count","Congress","John Barrow ",0,1,0
"195",195,"Andy Barr (R-Kentucky)","Kentucky",1,"Current","Count","Congress","Andy Barr ",0,1,0
"196",196,"Joe Barton (R-Texas)[60][61]","Texas",1,"Current","Count","Congress","Joe Barton ",0,1,0
"197",197,"Dan Benishek (R-Michigan)[60][61]","Michigan",1,"Current","Count","Congress","Dan Benishek ",0,1,0
"198",198,"Kerry Bentivolio (R-Michigan)[103]","Michigan",1,"Current","Count","Congress","Kerry Bentivolio ",0,1,0
"199",199,"Gus Bilirakis (R-Florida)[60][61]","Florida",1,"Current","Count","Congress","Gus Bilirakis ",0,1,0
"200",200,"Rob Bishop (R-Utah)[60][61]","Utah",1,"Current","Count","Congress","Rob Bishop ",0,1,0
"201",201,"Sanford Bishop Jr. (D-Georgia)[60][61]","Georgia",1,"Current","Count","Congress","Sanford Bishop Jr. ",0,1,0
"202",202,"Diane Black (R-Tennessee)[60][61]","Tennessee",1,"Current","Count","Congress","Diane Black ",0,1,0
"203",203,"Marsha Blackburn (R-Tennessee)[60][61]","Tennessee",1,"Current","Count","Congress","Marsha Blackburn ",0,1,0
"204",204,"Charles Boustany (R-Louisiana)[60][61]","Louisiana",1,"Current","Count","Congress","Charles Boustany ",0,1,0
"205",205,"Kevin Brady (R-Texas)[60][61]","Texas",1,"Current","Count","Congress","Kevin Brady ",0,1,0
"206",206,"Jim Bridenstine (R-Oklahoma)[104]","Oklahoma",1,"Current","Count","Congress","Jim Bridenstine ",0,1,0
"207",207,"Mo Brooks (R-Alabama)[60][61]","Alabama",1,"Current","Count","Congress","Mo Brooks ",0,1,0
"208",208,"Paul Broun (R-Georgia)[60][61]","Georgia",1,"Current","Count","Congress","Paul Broun ",0,1,0
"209",209,"Vern Buchanan (R-Florida)[60][61]","Florida",1,"Current","Count","Congress","Vern Buchanan ",0,1,0
"210",210,"Larry Bucshon (R-Indiana)[60][61]","Indiana",1,"Current","Count","Congress","Larry Bucshon ",0,1,0
"211",211,"Michael Burgess (R-Texas)[60][61]","Texas",1,"Current","Count","Congress","Michael Burgess ",0,1,0
"212",212,"Bradley Byrne (R-Alabama)[105]","Alabama",1,"Current","Count","Congress","Bradley Byrne ",0,1,0
"213",213,"Ken Calvert (R-California)[60][61]","California",1,"Current","Count","Congress","Ken Calvert ",0,1,0
"214",214,"Dave Camp (R-Michigan)[60][61]","Michigan",1,"Current","Count","Congress","Dave Camp ",0,1,0
"215",215,"John B. T. Campbell III (R-California)[60][61]","California",1,"Current","Count","Congress","John B. T. Campbell III ",0,1,0
"216",216,"Shelley Moore Capito (R-West Virginia)[60][61]","West Virginia",1,"Current","Count","Congress","Shelley Moore Capito ",0,1,0
"217",217,"John Carter (R-Texas)[60][61]","Texas",1,"Current","Count","Congress","John Carter ",0,1,0
"218",218,"Bill Cassidy (R-Louisiana)[60][61]","Louisiana",1,"Current","Count","Congress","Bill Cassidy ",0,1,0
"219",219,"Steven Chabot (R-Ohio)[60][61]","Ohio",1,"Current","Count","Congress","Steven Chabot ",0,1,0
"220",220,"Jason Chaffetz (R-Utah)[60][61]","Utah",1,"Current","Count","Congress","Jason Chaffetz ",0,1,0
"221",221,"Howard Coble (R-North Carolina)[60][61]","North Carolina",1,"Current","Count","Congress","Howard Coble ",0,1,0
"222",222,"Mike Coffman (R-Colorado)[60][61]","Colorado",1,"Current","Count","Congress","Mike Coffman ",0,1,0
"223",223,"Tom Cole (R-Oklahoma)[60][61]","Oklahoma",1,"Current","Count","Congress","Tom Cole ",0,1,0
"224",224,"Chris Collins (R-New York)[106]","New York",1,"Current","Count","Congress","Chris Collins ",0,1,0
"225",225,"Doug Collins (R-Georgia)[107]","Georgia",1,"Current","Count","Congress","Doug Collins ",0,1,0
"226",226,"Michael Conaway (R-Texas)[60][61]","Texas",1,"Current","Count","Congress","Michael Conaway ",0,1,0
"227",227,"Paul Cook (R-California)[108]","California",1,"Current","Count","Congress","Paul Cook ",0,1,0
"228",228,"Tom Cotton (R-Arkansas)[109]","Arkansas",1,"Current","Count","Congress","Tom Cotton ",0,1,0
"229",229,"Kevin Cramer (R-North Dakota)[110]","North Dakota",1,"Current","Count","Congress","Kevin Cramer ",0,1,0
"230",230,"Rick Crawford (R-Arkansas)[60][61]","Arkansas",1,"Current","Count","Congress","Rick Crawford ",0,1,0
"231",231,"Ander Crenshaw (R-Florida)[60][61]","Florida",1,"Current","Count","Congress","Ander Crenshaw ",0,1,0
"232",232,"Henry Cuellar (D-Texas)[60][61]","Texas",1,"Current","Count","Congress","Henry Cuellar ",0,1,0
"233",233,"John Culberson (R-Texas)[60][61]","Texas",1,"Current","Count","Congress","John Culberson ",0,1,0
"234",234,"Steve Daines (R-Montana)[111]","Montana",1,"Current","Count","Congress","Steve Daines ",0,1,0
"235",235,"Rodney L. Davis (R-Illinois)[112]","Illinois",1,"Current","Count","Congress","Rodney L. Davis ",0,1,0
"236",236,"Jeff Denham (R-California)[60][61]","California",1,"Current","Count","Congress","Jeff Denham ",0,1,0
"237",237,"Ron DeSantis (R-Florida)[113]","Florida",1,"Current","Count","Congress","Ron DeSantis ",0,1,0
"238",238,"Scott DesJarlais (R-Tennessee)[60][61]","Tennessee",1,"Current","Count","Congress","Scott DesJarlais ",0,1,0
"239",239,"Sean Duffy (R-Wisconsin)[60][61]","Wisconsin",1,"Current","Count","Congress","Sean Duffy ",0,1,0
"240",240,"Jeff Duncan (R-South Carolina)[60][61]","South Carolina",1,"Current","Count","Congress","Jeff Duncan ",0,1,0
"241",241,"Renee Ellmers (R-North Carolina)[60][61]","North Carolina",1,"Current","Count","Congress","Renee Ellmers ",0,1,0
