"","doc.text"
"1","1 Political parties
1.1 National
1.2 State and Local
1.2.1 State Democratic chapters
1.2.2 Other Democratic chapters
1.2.3 State Republican chapters
1.2.4 Other Republican chapters

1.3 Other state political parties
1.3.1 Territorial politicial parties

1.4 College Organizations
1.4.1 College Democrats of America state federations and chapters
1.4.2 College Republican National Committee state federations and chapters
1.4.3 Young Republicans chapters

"
"2","1.1 National"
"3","1.2 State and Local
1.2.1 State Democratic chapters
1.2.2 Other Democratic chapters
1.2.3 State Republican chapters
1.2.4 Other Republican chapters
"
"4","1.2.1 State Democratic chapters"
"5","1.2.2 Other Democratic chapters"
"6","1.2.3 State Republican chapters"
"7","1.2.4 Other Republican chapters"
"8","1.3 Other state political parties
1.3.1 Territorial politicial parties
"
"9","1.3.1 Territorial politicial parties"
"10","1.4 College Organizations
1.4.1 College Democrats of America state federations and chapters
1.4.2 College Republican National Committee state federations and chapters
1.4.3 Young Republicans chapters
"
"11","1.4.1 College Democrats of America state federations and chapters"
"12","1.4.2 College Republican National Committee state federations and chapters"
"13","1.4.3 Young Republicans chapters"
"14","2 Elected officials
2.1 Presidents
2.2 Vice Presidents
2.3 U.S. Senators
2.3.1 Former U.S. Senators

2.4 Members of the U.S. House of Representatives
2.4.1 Former U.S. Representatives

2.5 Governors
2.5.1 Former Governors

2.6 Lieutenant Governors
2.6.1 Former Lieutenant Governors

2.7 Attorneys General
2.7.1 Former Attorneys General

2.8 Mayors
2.8.1 Former mayors

"
"15","2.1 Presidents"
"16","2.2 Vice Presidents"
"17","2.3 U.S. Senators
2.3.1 Former U.S. Senators
"
"18","2.3.1 Former U.S. Senators"
"19","2.4 Members of the U.S. House of Representatives
2.4.1 Former U.S. Representatives
"
"20","2.4.1 Former U.S. Representatives"
"21","2.5 Governors
2.5.1 Former Governors
"
"22","2.5.1 Former Governors"
"23","2.6 Lieutenant Governors
2.6.1 Former Lieutenant Governors
"
"24","2.6.1 Former Lieutenant Governors"
"25","2.7 Attorneys General
2.7.1 Former Attorneys General
"
"26","2.7.1 Former Attorneys General"
"27","2.8 Mayors
2.8.1 Former mayors
"
