"","doc.text"
"1","1 Political parties
1.1 National
1.2 State Republican chapters
"
"2","1.1 National"
"3","1.2 State Republican chapters"
"4","2 Elected officials
2.1 Presidents
2.2 U.S. Senators
2.2.1 Former U.S. Senators

2.3 Members of the U.S. House of Representatives
2.3.1 Former U.S. Representatives

2.4 U.S. Governors
2.4.1 U.S. Former Governors

2.5 Lieutenant Governors
2.5.1 Former Lieutenant Governors

2.6 Attorneys General
2.6.1 Former Attorneys General

"
"5","2.1 Presidents"
"6","2.2 U.S. Senators
2.2.1 Former U.S. Senators
"
"7","2.2.1 Former U.S. Senators"
"8","2.3 Members of the U.S. House of Representatives
2.3.1 Former U.S. Representatives
"
"9","2.3.1 Former U.S. Representatives"
"10","2.4 U.S. Governors
2.4.1 U.S. Former Governors
"
"11","2.4.1 U.S. Former Governors"
"12","2.5 Lieutenant Governors
2.5.1 Former Lieutenant Governors
"
"13","2.5.1 Former Lieutenant Governors"
"14","2.6 Attorneys General
2.6.1 Former Attorneys General
"
"15","2.6.1 Former Attorneys General"
"16","3 Organizations"
"17","4 See also"
"18","5 References"
"19","Republican Party[4]"
"20","America First Party[5]"
"21","America's Party[6]"
"22","Christian Liberty Party[7]"
"23","Constitution Party[8]"
"24","Independent American Party[9]"
"25","Prohibition Party[10]"
"26","Alabama Republican Party[11]"
"27","Alaska Republican Party[12]"
"28","Arizona Republican Party[13]"
"29","Republican Party of Arkansas[14]"
"30","California Republican Party[15]"
"31","Colorado Republican Party[11]"
"32","Connecticut Republican Party[11]"
"33","Republican State Committee of Delaware[11]"
"34","Republican Party of Florida[11]"
"35","Georgia Republican Party[11]"
"36","Idaho Republican Party[16]"
"37","Illinois Republican Party[17]"
"38","Indiana Republican Party[18]"
"39","Republican Party of Iowa[19]"
"40","Kansas Republican Party[20]"
"41","Republican Party of Kentucky[4]"
"42","Republican Party of Louisiana[21]"
"43","Maine Republican Party[22]"
"44","Maryland Republican Party[11]"
"45","Massachusetts Republican Party[23]"
"46","Michigan Republican Party[11]"
"47","Republican Party of Minnesota[24]"
"48","Mississippi Republican Party[25]"
"49","Missouri Republican Party[26]"
"50","Montana Republican Party[27]"
"51","Nebraska Republican Party[28]"
"52","New Hampshire Republican State Committee[29]"
"53","New Jersey Republican State Committee[11]"
"54","Republican Party of New Mexico[30]"
"55","New York Republican State Committee[11]"
"56","North Carolina Republican Party[11]"
"57","North Dakota Republican Party[11]"
"58","Ohio Republican Party[11]"
"59","Oklahoma Republican Party[31]"
"60","Oregon Republican Party[32]"
"61","Republican State Committee of Pennsylvania[11]"
"62","South Carolina Republican Party[33]"
"63","South Dakota Republican Party[34]"
"64","Tennessee Republican Party[11]"
"65","Republican Party of Texas[35]"
"66","Republican Party of Virginia[36]"
"67","Washington State Republican Party[37]"
"68","West Virginia Republican Party[38]"
"69","Wyoming Republican Party[39]"
"70","George W. Bush 1 (R-Texas)[40]"
"71","1 During his presidency, George W. Bush, opposed same-sex marriage. On February 24, 2004, Bush announced his support for an amendment to the US Constitution banning same-sex marriage.[41] On October 24, 2004, Bush announced his support for civil unions.[42] However, in his post presidency interviews, he refused to take a position on the issue of same-sex marriage.[43][44]"
"72","Senate Minority Leader Mitch McConnell[45] (R-Kentucky)"
"73","Senate Minority Whip John Cornyn[45][46][47] (R-Texas)"
"74","Lamar Alexander[45] (R-Tennessee)"
"75","Kelly Ayotte[48] (R-New Hampshire)"
"76","John Barrasso[49] (R-Wyoming)"
"77","Roy Blunt[50] (R-Missouri)"
"78","John Boozman[51] (R-Arkansas)"
"79","Richard Burr[45][52] (R-North Carolina)"
"80","Saxby Chambliss[45][53] (R-Georgia)"
"81","Dan Coats[54] (R-Indiana)"
"82","Tom Coburn[45][55][56] (R-Oklahoma)"
"83","Thad Cochran[45] (R-Mississippi)"
"84","Bob Corker[57] (R-Tennessee)"
"85","Mike Crapo[45][53] (R-Idaho)"
"86","Ted Cruz[58] (R-Texas)"
"87","Mike Enzi[45][53] (R-Wyoming)"
"88","Deb Fischer[59] (R-Nebraska)"
"89","Jeff Flake[60][61] (R-Arizona)"
"90","Lindsey Graham[45][53] (R-South Carolina)"
"91","Chuck Grassley[45] (R-Iowa)"
"92","Orrin Hatch[45] (R-Utah)"
"93","Dean Heller[62] (R-Nevada)"
"94","John Hoeven[63] (R-North Dakota)"
"95","Jim Inhofe[45][53] (R-Oklahoma)"
"96","Johnny Isakson[45][53] (R-Georgia)"
"97","Mike Johanns[64] (R-Nebraska)"
"98","Ron Johnson[65] (R-Wisconsin)"
"99","Mike Lee[66] (R-Utah)"
"100","John McCain[67] (R-Arizona)"
"101","Jerry Moran[68] (R-Kansas)"
"102","Rand Paul[69] (R-Kentucky)"
"103","Mark Pryor[70] (D-Arkansas)"
"104","Jim Risch[71] (R-Idaho)"
"105","Pat Roberts[45][53] (R-Kansas)"
"106","Marco Rubio[72] (R-Florida)"
"107","Tim Scott[73] (R-South Carolina)"
"108","Jeff Sessions[45][74] (R-Alabama)"
"109","Richard Shelby[45][53] (R-Alabama)"
"110","John Thune[45][75] (R-South Dakota)"
"111","Pat Toomey[76] (R-Pennsylvania)"
"112","David Vitter[45][53] (R-Louisiana)"
"113","Roger Wicker[77] (R-Mississippi)"
"114","Spencer Abraham[79] (R-Michigan)"
"115","Wayne Allard[45] (R-Colorado)"
"116","George Allen[45] (R-Virginia)"
"117","John Ashcroft[79] (R-Missouri)"
"118","Evan Bayh[80] (D-Indiana)"
"119","Bob Bennett[45] (R-Utah)"
"120","Kit Bond[45] (R-Missouri)"
"121","David L. Boren[81] (D-Oklahoma)"
"122","Hank Brown[79] (R-Colorado)"
"123","Scott Brown[82] (R-Massachusetts)"
"124","Sam Brownback[83] (R-Kansas)"
"125","Dale Bumpers[79] (D-Arkansas)"
"126","Jim Bunning[45] (R-Kentucky)"
"127","Conrad Burns[45] (R-Montana)"
"128","Roland Burris[84] (D-Illinois)"
"129","Richard Bryan[79] (D-Nevada)"
"130","Robert Byrd[85] (D-West Virginia)"
"131","John Chafee[79] (R-Rhode Island)"
"132","Lawton Chiles[86] (D-Florida)"
"133","Norm Coleman[45] (R-Minnesota)"
"134","Kent Conrad[87] (D-North Dakota)"
"135","Paul Coverdell[79] (R-Georgia)"
"136","Larry Craig[45] (R-Idaho)"
