"","X","doc.text","State","PolsWhoSupport","Current","Count","Congress","Name","SenatorsSupport","RepsSupport","GovsSupport"
"158",158,"Majority Leader Harry Reid[71] (D–Nevada, 1987–present)","Nevada",1,"Current","Count","Congress","Harry Reid",1,0,0
"159",159,"Majority Whip Dick Durbin[72] (D–Illinois, 1997–present)","Illinois",1,"Current","Count","Congress","Dick Durbin",1,0,0
"160",160,"President pro tempore Patrick Leahy[73] (D–Vermont, 1975–present)","Vermont",1,"Current","Count","Congress","Patrick Leahy",1,0,0
"161",161,"Tammy Baldwin[74] (D–Wisconsin, 2013–present)","Wisconsin",1,"Current","Count","Congress","Tammy Baldwin",1,0,0
"162",162,"Mark Begich[75] (D–Alaska, 2009–present)","Alaska",1,"Current","Count","Congress","Mark Begich",1,0,0
"163",163,"Michael Bennet[74] (D–Colorado, 2009–present)","Colorado",1,"Current","Count","Congress","Michael Bennet",1,0,0
"164",164,"Richard Blumenthal[74] (D–Connecticut, 2011–present)","Connecticut",1,"Current","Count","Congress","Richard Blumenthal",1,0,0
"165",165,"Cory Booker[76] (D–New Jersey) (2013–present)","New Jersey",1,"Current","Count","Congress","Cory Booker",1,0,0
"166",166,"Barbara Boxer[74] (D–California, 1993–present)","California",1,"Current","Count","Congress","Barbara Boxer",1,0,0
"167",167,"Sherrod Brown[74] (D–Ohio, 2007–present)","Ohio",1,"Current","Count","Congress","Sherrod Brown",1,0,0
"168",168,"Maria Cantwell[77] (D–Washington, 2001–present)","Washington",1,"Current","Count","Congress","Maria Cantwell",1,0,0
"169",169,"Ben Cardin[74] (D–Maryland, 2007–present)","Maryland",1,"Current","Count","Congress","Ben Cardin",1,0,0
"170",170,"Tom Carper[78] (D–Delaware, 2001–present)","Delaware",1,"Current","Count","Congress","Tom Carper",1,0,0
"171",171,"Bob Casey, Jr.[79] (D–Pennsylvania, 2007–present)","Pennsylvania",1,"Current","Count","Congress","Bob Casey, Jr.",1,0,0
"172",172,"Susan Collins[80] (R–Maine, 1997–present)","Maine",1,"Current","Count","Congress","Susan Collins",1,0,0
"173",173,"Chris Coons[74] (D–Delaware, 2011–present)","Delaware",1,"Current","Count","Congress","Chris Coons",1,0,0
"174",174,"Joe Donnelly[81] (D–Indiana, 2013–present)","Indiana",1,"Current","Count","Congress","Joe Donnelly",1,0,0
"175",175,"Dianne Feinstein[74] (D–California, 1992–present)","California",1,"Current","Count","Congress","Dianne Feinstein",1,0,0
"176",176,"Al Franken[74] (D–Minnesota, 2009–present)","Minnesota",1,"Current","Count","Congress","Al Franken",1,0,0
"177",177,"Kirsten Gillibrand[74] (D–New York, 2009–present)","New York",1,"Current","Count","Congress","Kirsten Gillibrand",1,0,0
"178",178,"Kay Hagan[82] (D–North Carolina, 2009–present)","North Carolina",1,"Current","Count","Congress","Kay Hagan",1,0,0
"179",179,"Tom Harkin[74] (D–Iowa, 1985–present)","Iowa",1,"Current","Count","Congress","Tom Harkin",1,0,0
"180",180,"Martin Heinrich[74] (D–New Mexico, 2013–present)","New Mexico",1,"Current","Count","Congress","Martin Heinrich",1,0,0
"181",181,"Heidi Heitkamp[83] (D–North Dakota, 2013–present)","North Dakota",1,"Current","Count","Congress","Heidi Heitkamp",1,0,0
"182",182,"Mazie Hirono[84] (D–Hawaii, 2013–present)","Hawaii",1,"Current","Count","Congress","Mazie Hirono",1,0,0
"183",183,"Tim Johnson[85] (D–South Dakota, 1997–present)","South Dakota",1,"Current","Count","Congress","Tim Johnson",1,0,0
"184",184,"Tim Kaine[86] (D–Virginia, 2013–present)","Virginia",1,"Current","Count","Congress","Tim Kaine",1,0,0
"185",185,"Angus King[87] (I–Maine, 2013–present)","Maine",1,"Current","Count","Congress","Angus King",1,0,0
"186",186,"Mark Kirk[88] (R–Illinois, 2010–present)","Illinois",1,"Current","Count","Congress","Mark Kirk",1,0,0
"187",187,"Amy Klobuchar[89] (D–Minnesota, 2007–present)","Minnesota",1,"Current","Count","Congress","Amy Klobuchar",1,0,0
"188",188,"Mary Landrieu1[90] (D–Louisiana, 1997–present)","Louisiana",1,"Current","Count","Congress","Mary Landrieu1",1,0,0
"189",189,"Carl Levin[74] (D–Michigan, 1979–present)","Michigan",1,"Current","Count","Congress","Carl Levin",1,0,0
"190",190,"Ed Markey[91] (D–Massachusetts, 2013–present)","Massachusetts",1,"Current","Count","Congress","Ed Markey",1,0,0
"191",191,"Claire McCaskill[92] (D–Missouri, 2007–present)","Missouri",1,"Current","Count","Congress","Claire McCaskill",1,0,0
"192",192,"Bob Menendez[74] (D–New Jersey, 2006–present)","New Jersey",1,"Current","Count","Congress","Bob Menendez",1,0,0
"193",193,"Jeff Merkley[74] (D–Oregon, 2009–present)","Oregon",1,"Current","Count","Congress","Jeff Merkley",1,0,0
"194",194,"Barbara Mikulski[74] (D–Maryland, 1987–present)","Maryland",1,"Current","Count","Congress","Barbara Mikulski",1,0,0
"195",195,"Lisa Murkowski[93] (R–Alaska, 2002–present)","Alaska",1,"Current","Count","Congress","Lisa Murkowski",1,0,0
"196",196,"Chris Murphy[94] (D–Connecticut, 2013–present)","Connecticut",1,"Current","Count","Congress","Chris Murphy",1,0,0
"197",197,"Patty Murray[74] (D–Washington, 1993–present)","Washington",1,"Current","Count","Congress","Patty Murray",1,0,0
